Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
7,13-Mar-23,CUST007,Male,46,Clothing,2,25,50
17,22-Apr-23,CUST017,Female,27,Clothing,4,25,100
19,16-Sep-23,CUST019,Female,62,Clothing,2,25,50
41,22-Feb-23,CUST041,Male,34,Clothing,2,25,50
44,19-Feb-23,CUST044,Female,22,Clothing,1,25,25
64,24-Jan-23,CUST064,Male,49,Clothing,4,25,100
103,17-Jan-23,CUST103,Female,59,Clothing,1,25,25
127,24-Jul-23,CUST127,Female,33,Clothing,2,25,50
135,26-Feb-23,CUST135,Male,20,Clothing,2,25,50
145,2-Nov-23,CUST145,Female,39,Clothing,3,25,75
149,11-Oct-23,CUST149,Male,22,Clothing,3,25,75
156,25-Nov-23,CUST156,Female,43,Clothing,4,25,100
170,2-Jun-23,CUST170,Female,25,Clothing,2,25,50
185,27-Feb-23,CUST185,Male,24,Clothing,1,25,25
188,3-May-23,CUST188,Male,40,Clothing,3,25,75
205,7-Nov-23,CUST205,Female,43,Clothing,1,25,25
206,5-Aug-23,CUST206,Male,61,Clothing,1,25,25
223,2-Feb-23,CUST223,Female,64,Clothing,1,25,25
236,28-Apr-23,CUST236,Female,54,Clothing,1,25,25
242,2-May-23,CUST242,Male,21,Clothing,1,25,25
261,5-Aug-23,CUST261,Male,21,Clothing,2,25,50
277,18-Aug-23,CUST277,Male,36,Clothing,4,25,100
278,13-Mar-23,CUST278,Female,37,Clothing,4,25,100
287,20-Feb-23,CUST287,Male,54,Clothing,4,25,100
316,22-Apr-23,CUST316,Female,48,Clothing,2,25,50
318,24-Oct-23,CUST318,Male,61,Clothing,1,25,25
326,15-Sep-23,CUST326,Female,18,Clothing,3,25,75
360,9-Mar-23,CUST360,Male,42,Clothing,4,25,100
362,27-Nov-23,CUST362,Male,50,Clothing,1,25,25
379,5-Feb-23,CUST379,Female,47,Clothing,1,25,25
381,9-Jul-23,CUST381,Female,44,Clothing,4,25,100
389,1-Dec-23,CUST389,Male,21,Clothing,2,25,50
423,8-Mar-23,CUST423,Female,27,Clothing,1,25,25
439,9-Jul-23,CUST439,Male,50,Clothing,3,25,75
442,17-Mar-23,CUST442,Female,60,Clothing,4,25,100
475,20-Jan-23,CUST475,Male,26,Clothing,3,25,75
498,19-Jun-23,CUST498,Female,50,Clothing,4,25,100
517,8-Apr-23,CUST517,Female,47,Clothing,4,25,100
527,11-Apr-23,CUST527,Male,57,Clothing,2,25,50
545,1-Jun-23,CUST545,Male,27,Clothing,2,25,50
558,8-Oct-23,CUST558,Female,41,Clothing,1,25,25
585,1-May-23,CUST585,Female,24,Clothing,1,25,25
607,17-Mar-23,CUST607,Male,54,Clothing,3,25,75
615,23-Dec-23,CUST615,Female,61,Clothing,4,25,100
642,22-May-23,CUST642,Female,54,Clothing,4,25,100
653,20-May-23,CUST653,Male,54,Clothing,3,25,75
654,21-Jun-23,CUST654,Male,42,Clothing,3,25,75
657,11-Feb-23,CUST657,Male,40,Clothing,1,25,25
658,12-Mar-23,CUST658,Male,59,Clothing,1,25,25
661,16-Jul-23,CUST661,Female,44,Clothing,4,25,100
688,3-Oct-23,CUST688,Male,56,Clothing,4,25,100
730,4-Aug-23,CUST730,Female,36,Clothing,2,25,50
